"Name";"URL";"Author";"Price";"Number of Ratings";"Average Rating"
"The Power of your Subconscious Mind";"https://www.amazon.in/dp/8192910962/";"Joseph Murphy";"98.00";"2,898";"4.5 out of 5 stars"
"The Subtle Art of Not Giving a F*ck";"https://www.amazon.in/dp/0062641549/";"Mark Manson";"340.00";"252";"4.3 out of 5 stars"
"Think and Grow Rich";"https://www.amazon.in/dp/8192910911/";"Napoleon Hill";"75.00";"2,416";"4.5 out of 5 stars"
"Indian Polity 5th Edition";"https://www.amazon.in/dp/935260363X/";"M. Laxmikanth";"403.00";"1,941";"4.5 out of 5 stars"
"A Brief History of Time: From Big Bang to Black Holes";"https://www.amazon.in/dp/0553175211/";"Stephen Hawking";"220.00";"527";"4.5 out of 5 stars"
"Railway Assistant Loco Pilot and Technician 2018";"https://www.amazon.in/dp/9312147560/";"Arihant Experts";"199.00";"60";"4.0 out of 5 stars"
"Word Power Made Easy";"https://www.amazon.in/dp/8183071007/";"Norman Lewis";"109.00";"4,752";"4.4 out of 5 stars"
"India 2018";"https://www.amazon.in/dp/8123027389/";"Publication Division";"230.00";"43";"3.5 out of 5 stars"
"Sapiens";"https://www.amazon.in/dp/0099590085/";"Yuval Noah Harari";"288.00";"902";"4.6 out of 5 stars"
"Manorama Yearbook 2018";"https://www.amazon.in/dp/9386025426/";"Mammen Mathew";"195.00";"142";"4.1 out of 5 stars"
"RRB Group D Guide 2018";"https://www.amazon.in/dp/9312147889/";"Arihant Experts";"203.00";"45";"4.1 out of 5 stars"
"General Knowledge 2019";"https://www.amazon.in/dp/9312147307/";"Manohar Pandey";"25.00";"43";"4.2 out of 5 stars"
"A Century is not Enough: My Roller-coaster Ride to Success";"https://www.amazon.in/dp/9386228564/";"Sourav Ganguly";"394.00";"111";"4.6 out of 5 stars"
"Quantitative Aptitude for Competitive Examinations";"https://www.amazon.in/dp/9352534026/";"R S Aggarwal";"507.00";"586";"4.3 out of 5 stars"
"The Alchemist";"https://www.amazon.in/dp/8172234988/";"Paulo Coelho";"224.00";"2,979";"4.6 out of 5 stars"
"How to Win Friends and Influence People";"https://www.amazon.in/dp/0091906350/";"Dale Carnegie";"172.00";"1,835";"4.5 out of 5 stars"
"Immortal Talks";"https://www.amazon.in/dp/8193305205/";"Shunya";"249.00";"535";"4.8 out of 5 stars"
"RRB Group D Solved Papers and Practice Sets 2018";"https://www.amazon.in/dp/9312148559/";"Arihant Experts";"120.00";"12";"4.4 out of 5 stars"
"A Brief History of Modern India";"https://www.amazon.in/dp/8179306542/";"Rajiv Ahir";"265.00";"141";"4.2 out of 5 stars"
"Will You Still Love Me?";"https://www.amazon.in/dp/0143429361/";"RAVINDER SINGH";"109.00";"77";"4.8 out of 5 stars"
"Diary of a Wimpy Kid: The Getaway (book 12)";"https://www.amazon.in/dp/0141385294/";"Jeff Kinney";"213.00";"297";"4.7 out of 5 stars"
"Indian Art and Culture";"https://www.amazon.in/dp/9387067548/";"Nitin Singhania";"309.00";"130";"4.5 out of 5 stars"
"Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World)";"https://www.amazon.in/dp/1612680194/";"Robert T Kiyosaki";"259.00";"2,514";"4.5 out of 5 stars"
"Indian Economy";"https://www.amazon.in/dp/9352606140/";"Ramesh Singh";"477.00";"340";"3.9 out of 5 stars"
"Wings of Fire: An Autobiography of Abdul Kalam";"https://www.amazon.in/dp/8173711461/";"Arun Tiwari";"198.00";"1,839";"4.6 out of 5 stars"
"The Immortals of Meluha (Shiva Trilogy)";"https://www.amazon.in/dp/9380658745/";"Amish";"156.00";"2,183";"4.6 out of 5 stars"
"Mathematics for Class 10 by R D Sharma (2018-19 Session)";"https://www.amazon.in/dp/8193647920/";"R.D. Sharma";"Not available";"22";"4.7 out of 5 stars"
"Zero to One: Note on Start Ups, or How to Build the Future";"https://www.amazon.in/dp/0753555190/";"Peter Thiel";"259.00";"799";"4.3 out of 5 stars"
"Concepts of Physics 2";"https://www.amazon.in/dp/8177092324/";"H.C. Verma";"282.00";"432";"4.6 out of 5 stars"
"Mathematics for Class 9 by R D Sharma (2018-19 Session)";"https://www.amazon.in/dp/8193647912/";"R.D. Sharma";"355.00";"12";"4.5 out of 5 stars"
"How to Win Friends and Influence People";"https://www.amazon.in/dp/8192910997/";"Dale Carnegie";"99.00";"1,835";"4.5 out of 5 stars"
"Exam Warriors";"https://www.amazon.in/dp/0143441507/";"Narendra Modi";"57.00";"309";"4.4 out of 5 stars"
"Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future";"https://www.amazon.in/dp/0753555638/";"Ashlee Vance";"363.00";"541";"4.6 out of 5 stars"
"Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination";"https://www.amazon.in/dp/9312146734/";"Arihant Experts";"501.00";"21";"4.2 out of 5 stars"
"Environment";"https://www.amazon.in/dp/B00Q6Q5WHS/";"Shankar";"400.00";"395";"4.2 out of 5 stars"
"Origin: Number 5 of the Robert Langdon Series";"https://www.amazon.in/dp/0593078756/";"Dan Brown";"400.00";"826";"4.0 out of 5 stars"
"Why I Am a Hindu";"https://www.amazon.in/dp/9386021102/";"Dr. Shashi Tharoor";"398.00";"109";"3.6 out of 5 stars"
"The Intelligent Investor (English) Paperback – 2013";"https://www.amazon.in/dp/0062312685/";"Benjamin Graham";"398.00";"719";"4.3 out of 5 stars"
"Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times";"https://www.amazon.in/dp/9386224585/";"Amish Tripathi";"195.00";"1,522";"4.2 out of 5 stars"
"The Monk Who Sold His Ferrari";"https://www.amazon.in/dp/817992162X/";"Robin Sharma";"169.00";"2,449";"4.5 out of 5 stars"
"Principles and Practices of Banking";"https://www.amazon.in/dp/9350597292/";"IIBF";"360.00";"191";"4.5 out of 5 stars"
"The Secret";"https://www.amazon.in/dp/1847370292/";"Rhonda Byrne";"416.00";"1,219";"4.5 out of 5 stars"
"Certificate Physical and Human Geography";"https://www.amazon.in/dp/0195628160/";"Goh Cheng Leong";"260.00";"658";"4.2 out of 5 stars"
"Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi";"https://www.amazon.in/dp/9386850648/";"Ashwin Sanghi";"219.00";"203";"4.2 out of 5 stars"
"Accounting and Finance for Bankers";"https://www.amazon.in/dp/9350598485/";"Med";"439.00";"191";"4.5 out of 5 stars"
"Attitude Is Everything: Change Your Attitude ... Change Your Life!";"https://www.amazon.in/dp/9351772071/";"Jeff Keller";"121.00";"218";"4.5 out of 5 stars"
"Inner Engineering: A Yogi’s Guide to Joy";"https://www.amazon.in/dp/0143428845/";"Sadhguru";"173.00";"830";"4.7 out of 5 stars"
"Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition)";"https://www.amazon.in/dp/9350597284/";"IIBF";"439.00";"189";"4.4 out of 5 stars"
"The 7 Habits of Highly Effective People";"https://www.amazon.in/dp/1471131823/";"R. Stephen Covey";"296.00";"841";"4.0 out of 5 stars"
"Catalyst";"https://www.amazon.in/dp/0143442473/";"Chandramouli";"200.00";"32";"4.4 out of 5 stars"
"15 Years' Solved Papers JEE Main";"https://www.amazon.in/dp/9311126276/";"Vikas Jain";"325.00";"41";"4.3 out of 5 stars"
"The Secret Of The Nagas (Shiva Trilogy-2)";"https://www.amazon.in/dp/9381626340/";"Amish Tripathi";"150.00";"1,482";"4.6 out of 5 stars"
"Don't Lose Your Mind, Lose Your Weight";"https://www.amazon.in/dp/8184001053/";"Rujuta Diwekar";"130.00";"820";"4.5 out of 5 stars"
"High School English Grammar and Composition Book (Regular Edition)";"https://www.amazon.in/dp/9352530144/";"D";"284.00";"662";"4.3 out of 5 stars"
"This Is Not Your Story";"https://www.amazon.in/dp/9386224399/";"Savi Sharma";"112.00";"1,881";"4.5 out of 5 stars"
"Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session)";"https://www.amazon.in/dp/8193663012/";"R.D. Sharma";"855.00";"11";"4.3 out of 5 stars"
"The Power of Habit: Why We Do What We Do, and How to Change";"https://www.amazon.in/dp/1847946240/";"Charles Duhigg";"224.00";"401";"4.4 out of 5 stars"
"23 Years CSAT General Studies IAS Prelims Topic-wise Solved Papers (1995-2017)";"https://www.amazon.in/dp/9386629283/";"Disha Experts";"246.00";"144";"4.1 out of 5 stars"
"Science Textbook for Class 10- 1064";"https://www.amazon.in/dp/8174506365/";"NCERT";"165.00";"50";"3.2 out of 5 stars"
"Three Thousand Stitches: Ordinary People, Extraordinary Lives";"https://www.amazon.in/dp/0143440055/";"Sudha Murty";"141.00";"158";"4.4 out of 5 stars"
"RRB Group D Guide Hindi 2018";"https://www.amazon.in/dp/9312147897/";"Arihant Experts";"193.00";"14";"4.1 out of 5 stars"
"39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Physics";"https://www.amazon.in/dp/9311128740/";"DC Pandey";"249.00";"78";"4.2 out of 5 stars"
"Dharmayoddha Kalki: Avatar of Vishnu (Book 1)";"https://www.amazon.in/dp/8193503309/";"Kevin Missal";"175.00";"136";"4.4 out of 5 stars"
"Objective General English";"https://www.amazon.in/dp/9351768449/";"S.P. Bakshi";"213.00";"1,416";"4.2 out of 5 stars"
"12 Years' Solved Papers CBSE AIPMT & NEET";"https://www.amazon.in/dp/9311127639/";"Arihant Experts";"244.00";"26";"4.0 out of 5 stars"
"Combo Pack: Science for Class 10 (2019 Exam) with Free Virtual Reality Gear";"https://www.amazon.in/dp/B07896K9RY/";"Lakhmir Singh";"1,122.00";"14";"3.7 out of 5 stars"
"39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics";"https://www.amazon.in/dp/9311128767/";"Amit M Agarwal";"249.00";"76";"4.3 out of 5 stars"
"Life is What You Make It";"https://www.amazon.in/dp/9380349300/";"Preeti Shenoy";"81.00";"2,563";"3.9 out of 5 stars"
"Picture Books Collection for Early Learning";"https://www.amazon.in/dp/B01M0QGF0P/";"E C Axus";"240.00";"102";"4.0 out of 5 stars"
"The Oath of the Vayuputras (Shiva Trilogy)";"https://www.amazon.in/dp/9382618341/";"Amish Tripathi";"243.00";"1,413";"4.4 out of 5 stars"
"Harry Potter and the Philosopher's Stone";"https://www.amazon.in/dp/1408855658/";"J.K. Rowling";"349.00";"771";"4.7 out of 5 stars"
"Who Will Cry When You Die?";"https://www.amazon.in/dp/8179922324/";"Robin Sharma";"149.00";"2,427";"4.4 out of 5 stars"
"Handbook of Physics";"https://www.amazon.in/dp/9352036034/";"Nipendra Bhatnagar";"109.00";"293";"4.4 out of 5 stars"
"Beehive  for Class - 9 - 959";"https://www.amazon.in/dp/8174505024/";"Paperback";"Not available";"1";"4.0 out of 5 stars"
"39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry";"https://www.amazon.in/dp/9311128759/";"Ranjeet Shahi";"249.00";"75";"3.9 out of 5 stars"
"Man's Search for Meaning";"https://www.amazon.in/dp/1846041244/";"Viktor E Frankl";"214.00";"461";"4.2 out of 5 stars"
"Ram - Scion of Ikshvaku (Book 1 - Ram Chandra Series): 2015 Edition with Updated Cover";"https://www.amazon.in/dp/9385152149/";"Amish Tripathi";"219.00";"4,383";"4.1 out of 5 stars"
"Concepts of Physics 1";"https://www.amazon.in/dp/8177091875/";"H.C. Verma";"327.00";"640";"4.6 out of 5 stars"
"The Theory of Everything";"https://www.amazon.in/dp/8179925919/";"Stephen Hawking";"195.00";"371";"4.5 out of 5 stars"
"To Kill a Mockingbird";"https://www.amazon.in/dp/0099549484/";"Harper Lee";"230.00";"1,049";"4.3 out of 5 stars"
"How to Prepare for Quantitative Aptitude for the CAT";"https://www.amazon.in/dp/9352602242/";"Arun Sharma";"544.00";"231";"4.2 out of 5 stars"
"History of Modern India";"https://www.amazon.in/dp/8125036849/";"Bipan Chandra";"235.00";"602";"4.0 out of 5 stars"
"CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude";"https://www.amazon.in/dp/9332551731/";"KVS Madaan";"337.00";"177";"4.3 out of 5 stars"
"Mathematics Textbook for Class - 10  - 1062";"https://www.amazon.in/dp/8174506349/";"NCERT";"140.00";"33";"3.8 out of 5 stars"
"Handbook of Chemistry";"https://www.amazon.in/dp/9352036042/";"R P Singh";"138.00";"237";"4.3 out of 5 stars"
"Trueman's UGC NET/SET General Paper I";"https://www.amazon.in/dp/8189301225/";"M. Gagan";"265.00";"297";"4.2 out of 5 stars"
"An Era of Darkness: The British Empire in India";"https://www.amazon.in/dp/938306465X/";"Shashi Tharoor";"437.00";"326";"4.5 out of 5 stars"
"Science Textbook for Class - 9  - 964";"https://www.amazon.in/dp/8174504923/";"NCERT";"135.00";"54";"3.4 out of 5 stars"
"Everyone Has A Story";"https://www.amazon.in/dp/9386036754/";"Savi Sharma";"100.00";"2,833";"4.1 out of 5 stars"
"Peppa Pig: Fairy Tale Little Library";"https://www.amazon.in/dp/1409306178/";"Lauren Holowaty";"133.00";"215";"3.9 out of 5 stars"
"Mathematics Textbook for Class - 9  - 962";"https://www.amazon.in/dp/8174504893/";"NCERT";"135.00";"45";"3.7 out of 5 stars"
"India's Struggle for Independence: 1857-1947";"https://www.amazon.in/dp/0140107819/";"Bipan Chandra";"208.00";"681";"4.3 out of 5 stars"
"Thinking, Fast and Slow (Penguin Press Non-Fiction)";"https://www.amazon.in/dp/0141033576/";"Daniel Kahneman";"350.00";"456";"4.5 out of 5 stars"
"Guide to CLAT & LL.B. Entrance Examination 2018-19";"https://www.amazon.in/dp/8131253627/";"Universal's";"648.00";"19";"3.8 out of 5 stars"
"Pregnancy Notes: Before, During & After";"https://www.amazon.in/dp/9386224895/";"Rujuta Diwekar";"112.00";"142";"3.9 out of 5 stars"
"Quantitative Aptitude for Competitive Examinations (Old Edition)";"https://www.amazon.in/dp/8121924987/";"R.S. Aggarwal";"299.00";"1,925";"3.8 out of 5 stars"
"Indian Superfoods: Change the Way You Eat";"https://www.amazon.in/dp/8193237234/";"Rujuta Diwekar";"213.00";"247";"4.1 out of 5 stars"
"Black Holes: The Reith Lectures";"https://www.amazon.in/dp/085750357X/";"Stephen Hawking";"80.00";"101";"4.3 out of 5 stars"
"General Knowledge 2019";"https://www.amazon.in/dp/931214734X/";"Manohar Pandey";"120.00";"21";"4.0 out of 5 stars"
"Homo Deus: A Brief History of Tomorrow";"https://www.amazon.in/dp/1784703931/";"Yuval Noah Harari";"386.00";"167";"4.5 out of 5 stars"
